date,open,high,low,close,adjusted close,volume,dividend,split,sma20,sma55,signal
2004-02-04 00:00:00,44.8,45.91,44.3,45.39,2.2695,21600700.0,0.0,1.0,44.703450000000004,44.34507272727272,
2004-02-03 00:00:00,48.19,48.28,44.52,44.94,2.247,27071400.0,0.0,1.0,44.79195,44.2738,
2004-02-02 00:00:00,50.56,50.65,47.95,48.27,2.4135,11588900.0,0.0,1.0,45.104949999999995,44.32016363636364,
2004-01-30 00:00:00,49.3,51.37,49.3,50.4,2.52,11404500.0,0.0,1.0,45.47645,44.41470909090909,
2004-01-29 00:00:00,52.03,52.06,48.6,49.22,2.461,22485100.0,0.0,1.0,45.78695,44.453072727272726,
2004-01-28 00:00:00,53.74,54.45,51.62,51.96,2.598,21581300.0,0.0,1.0,46.20245,44.57052727272727,
2004-01-27 00:00:00,56.75,57.74,55.66,55.74,2.787,12964100.0,0.0,1.0,46.84245,44.72961818181818,
2004-01-26 00:00:00,56.81,57.2,56.3,57.03,2.8515,5566000.0,0.0,1.0,47.57795,44.915800000000004,
2004-01-23 00:00:00,57.1,57.61,56.62,57.11,2.8555,6039000.0,0.0,1.0,48.235,45.107254545454545,
2004-01-22 00:00:00,56.81,57.82,56.24,57.18,2.859,10672200.0,0.0,1.0,48.8355,45.274890909090914,
2004-01-21 00:00:00,56.15,56.94,55.64,56.2,2.81,6783600.0,0.0,1.0,49.413,45.422163636363635,
2004-01-20 00:00:00,55.57,56.84,55.41,56.61,2.8305,7748400.0,0.0,1.0,50.0,45.617799999999995,
2004-01-16 00:00:00,56.23,56.37,55.27,55.72,2.786,9114200.0,0.0,1.0,50.5095,45.78652727272727,
2004-01-15 00:00:00,54.73,56.78,54.62,56.18,2.809,12217300.0,0.0,1.0,50.9995,45.95416363636363,
2004-01-14 00:00:00,54.62,55.99,54.15,55.8,2.79,11134100.0,0.0,1.0,51.4365,46.13070909090909,
2004-01-13 00:00:00,52.67,54.99,52.41,54.91,2.7455,14522300.0,0.0,1.0,51.825,46.31561818181818,
2004-01-12 00:00:00,51.65,53.03,50.8,52.95,2.6475,9450900.0,0.0,1.0,52.193,46.49143636363636,
2004-01-09 00:00:00,49.77,52.15,49.1,51.59,2.5795,12779200.0,0.0,1.0,52.47950000000001,46.633072727272726,
2004-01-08 00:00:00,52.09,52.095,50.03,50.24,2.512,10320300.0,0.0,1.0,52.674,46.769072727272736,
2004-01-07 00:00:00,52.18,52.66,50.94,51.9,2.595,9242700.0,0.0,1.0,52.967,46.95452727272727,
2004-01-06 00:00:00,53.11,53.5,52.74,53.03,2.6515,5985500.0,0.0,1.0,53.349000000000004,47.15525454545455,
2004-01-05 00:00:00,52.0,53.6,51.37,53.27,2.6635,11284100.0,0.0,1.0,53.765499999999996,47.403254545454544,
2004-01-02 00:00:00,52.76,53.13,51.43,51.9,2.595,6639900.0,0.0,1.0,53.947,47.61543636363637,
2003-12-31 00:00:00,52.82,53.48,52.4,52.62,2.631,5307200.0,0.0,1.0,54.05799999999999,47.82943636363637,
2003-12-30 00:00:00,53.18,53.5,52.6,52.83,2.6415,5152400.0,0.0,1.0,54.2385,48.0118,
2003-12-29 00:00:00,53.79,53.84,52.13,53.47,2.6735,8056900.0,0.0,1.0,54.314,48.20198181818183,
2003-12-26 00:00:00,54.14,54.94,53.14,53.47,2.6735,7078400.0,0.0,1.0,54.20050000000001,48.395981818181816,
2003-12-24 00:00:00,52.3,53.88,52.15,53.32,2.666,5659800.0,0.0,1.0,54.015,48.599436363636364,
2003-12-23 00:00:00,50.02,52.62,49.77,52.48,2.624,11004000.0,0.0,1.0,53.783500000000004,48.806709090909095,
2003-12-22 00:00:00,48.98,50.1,48.7,49.89,2.4945,7799700.0,0.0,1.0,53.419,48.94216363636364,
2003-12-19 00:00:00,48.8,49.41,48.26,49.24,2.462,8045900.0,0.0,1.0,53.071000000000005,49.08689090909091,
